Штрихкод;Номенклатура;;Габарит;Ед изм;Склад;Документ поступления;Номер;Дата;Количество;Стоимость;Поставщик
2000000006314;20470100023 Клапан для манометров (латунь, DN 6, PN 160, ИТШЛ.494544.007-03 (521-35.3404-03) ОСТ 5Р.5571-87 ОСТ ВД5.5571-87;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-001200 от 30.03.2018 23:59:59;0000-001200;30.03.2018 23:59;1;24110.00;ЗАВОД БУРЕВЕСТНИК ОАО
2000000007281;20470100023 Клапан для манометров (латунь, DN 6, PN 160, ИТШЛ.494544.007-03 (521-35.3404-03) ОСТ 5Р.5571-87 ОСТ ВД5.5571-87;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-001828 от 23.05.2018 9:26:29;0000-001828;23.05.2018 9:26;14;333965.00;ЗАВОД БУРЕВЕСТНИК ОАО
2000000007298;20470100023 Клапан для манометров (латунь, DN 6, PN 160, ИТШЛ.494544.007-03 (521-35.3404-03) ОСТ 5Р.5571-87 ОСТ ВД5.5571-87;;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-002150 от 15.06.2018 15:02:05;0000-002150;15.06.2018 15:02;5;22245.76;ФЛОТ-ИНВЕСТ ООО
2000000013268;00698110037 Лист Б - О - ПН - 6 x 1500 x 4500 ГОСТ 19903-2015/08Х18Н10Т - М3б ГОСТ 7350-77;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 00000000181 от 15.09.2017 15:45:44;181;15.09.2017 15:45;320;60089.49;АТЭМ ООО
2000000014586;00698110037 Лист Б - О - ПН - 6 x 1500 x 4500 ГОСТ 19903-2015/08Х18Н10Т - М3б ГОСТ 7350-77;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 239 от 25.12.2017 23:59:59;239;25.12.2017 23:59;317;61519.49;АТЭМ ООО
2000000014326;00524158653 Лист ПУ - О - 25 х 1500 х 6000 ГОСТ 19903-2015/E40S ГОСТ 5521-93;;;кг;Склад цех 14;Поступление товаров и услуг 0000-000622 от 28.02.2018 10:20:28;0000-000622;28.02.2018 10:20;1 132.10;65776.91;Нева-МеталлТрэйд ООО
2000000009070;00486059722 Заготовка квадратная 1 - 200 - 08Х17Н6Т ТУ 14-1-4492-88/ГОСТ 5632-2014;;;кг;Склад цех 11;Поступление товаров и услуг 0000-001772 от 18.05.2018 10:58:11;0000-001772;18.05.2018 10:58;3 297.00;1061634.00;СЕВЗАПСЕРВИС ООО
2000000014913;00526230495 Лист ПН - О - 20 х 1500 х 6000 ГОСТ 19903-2015/390 - 12 - 10ХСНД - ГС ГОСТ 19281-2014;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001679 от 14.05.2018 10:21:47;0000-001679;14.05.2018 10:21;1 428.00;76676.34;СПЕЦМЕТАЛЛ ООО
2000000013442;00526230767 Лист ПН - О - 30 х 1500 х 6000 ГОСТ 19903-2015/390 - 12 - 10ХСНД - ГС ГОСТ 19281-2014;;;кг;Склад цех 14;Поступление товаров и услуг 0000-001679 от 14.05.2018 10:21:47;0000-001679;14.05.2018 10:21;2 838.00;152386.20;СПЕЦМЕТАЛЛ ООО
2000000013442;00526230767 Лист ПН - О - 30 х 1500 х 6000 ГОСТ 19903-2015/390 - 12 - 10ХСНД - ГС ГОСТ 19281-2014;;;кг;Склад  1  Черные металлы;Поступление товаров и услуг 0000-001679 от 14.05.2018 10:21:47;0000-001679;14.05.2018 10:21;5 700.00;306061.04;СПЕЦМЕТАЛЛ ООО
