Штрихкод;Номенклатура;Габарит;Ед изм;Склад;Документ поступления;Номер;Дата;Количество;Стоимость;Поставщик
2000000007540;00000802120 Конденсатор К52-11-50В-33 мкФ ± 20%-В ОЖО.464.234 ТУ;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004501 от 05.12.2018 15:11:06;0000-004501;05.12.2018 15:11;27,000;39 825,00;ЯНГЕЛЬ ООО
2000000007564;00000802124 Конденсатор К52-11-6,3В-150мкФ± 20%-В ОЖО.464.234 ТУ;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004536 от 10.12.2018 10:19:35;0000-004536;10.12.2018 10:19;66,000;84 744,00;ЯНГЕЛЬ ООО
2000000007779;824249 Лампа полупр.коммут.СКЛ15,3Б-Л-2-24;;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004589 от 11.12.2018 13:24:25;0000-004589;11.12.2018 13:24;6,000;348,00;ТД КАСКАД-ЭЛЕКТРО ООО
2000000006932;862089 Шильд (цаки);;шт;Склад  8 Электрооборуд.;Поступление товаров и услуг 0000-004461 от 30.11.2018 9:25:17;0000-004461;30.11.2018 9:25;30,000;1 269,90;ПЕТРОШИЛЬД ООО
2000000007489;00000900088 Клапан запорный угловой штуцерный бронзовый Ду20 521-01.465-03 ТУ5.520-16831-86;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-004515 от 06.12.2018 14:09:51;0000-004515;06.12.2018 14:09;1,000;10 992,00;ЗАВОД БУРЕВЕСТНИК ОАО
2000000007403;00000900135 Клапан запорный проходной фланцевый Ду32, Ру25  ИТШЛ.491115.020 (521-01.126);;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000041 от 31.03.2017 23:59:59;41;31.03.2017 23:59;3,000;127 413,00;АСКОЛЬД ПАО
2000000007410;00000900508 Клапан запорный проходной фланцевый Ду80, Ру10 ИТШЛ.491125.013-02 (521-35.3451-02);;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000041 от 31.03.2017 23:59:59;41;31.03.2017 23:59;12,000;2 154 492,00;АСКОЛЬД ПАО
2000000007878;901176 Фильтроэлемент 8Д2966022-7;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 0000-004587 от 11.12.2018 14:52:42;0000-004587;11.12.2018 14:52;1,000;14 754,00;УАП ГИДРАВЛИКА АО
2000000007090;904315 Манометр МП 100кр 100кгс/см2 кл.т.1,5;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000153 от 13.10.2017 10:55:28;153;13.10.2017 10:55;6,000;64 984,35;Манотомь ОАО
2000000007083;00000904319 Манометр МП 100 Кр 16 кгс/см2 кл.т.1,5 ТУ 4212-055-00225590-2007;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000153 от 13.10.2017 10:55:28;153;13.10.2017 10:55;5,000;54 153,63;Манотомь ОАО
2000000007106;904456 Манометр МП-100Кр-6.0 кг/см2 кл.т2,5;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000153 от 13.10.2017 10:55:28;153;13.10.2017 10:55;9,000;97 476,54;Манотомь ОАО
2000000007373;904536 Компенсатор НИЯП.302667.619-03.41;;шт;Склад цех 8;Поступление товаров и услуг 00000000001 от 12.01.2017 10:21:07;1;12.01.2017 10:21;1,000;184 750,00;Металкомп АО
2000000010717;00000904898 Манометр МП-100Кр-2,5 МРа-2,5 ТУ 4212-055-00225590-2007;;шт;Склад  9 Гидрооборуд.;Поступление товаров и услуг 00000000202 от 13.12.2017 10:21:03;202;13.12.2017 10:21;2,000;21 562,18;Манотомь ОАО
